set T := 
PV
PVNM
CHP
UTIL1
BOILER
;
param btg :=
PV 0
PVNM 0
CHP 0
UTIL1 1
BOILER 0
;
param btc :=
PV 0
PVNM 0
CHP 1
UTIL1 0
BOILER 0
;
param bth :=
PV 0
PVNM 0
CHP 0
UTIL1 0
BOILER 1
;
param btco :=
PV 0
PVNM 0
CHP 0
UTIL1 0
BOILER 0
;
set D :=
1R
1W
1X
1S
2R
T
;
param blm :=
PV 1R 1
PV 1W 1
PV 1X 1
PV 1S 1
PV 2R 1
PV T 1
PVNM 1R 1
PVNM 1W 1
PVNM 1X 1
PVNM 1S 1
PVNM 2R 1
PVNM T 1
CHP 1R 1
CHP 1W 1
CHP 1X 1
CHP 1S 1
CHP 2R 1
CHP T 1
UTIL1 1R 1
UTIL1 1W 0
UTIL1 1X 0
UTIL1 1S 1
UTIL1 2R 0
UTIL1 T 0
BOILER 1R 0
BOILER 1W 0
BOILER 1X 0
BOILER 1S 0
BOILER 2R 1
BOILER T 1
;
param blc :=
CHP 1 0
CHP 2 0
CHP 3 0
UTIL1 1 0
UTIL1 2 0
UTIL1 3 0
BOILER 1 0
BOILER 2 0
BOILER 3 0
;
set C :=
PV
WIND
GENERATOR
CHP
UTIL
BOILER
ELECCHL
ABSORPCHL
;
set V :=
BelowNM
NMtoIL
AboveIL
;
param f_d :=
PV 1
PVNM 1
CHP 0
UTIL1 0
BOILER 0
;
param bm :=
PV PV 1
PV WIND 0
PV GENERATOR 0
PV CHP 0
PV UTIL 0
PV BOILER 0
PV ELECCHL 0
PV ABSORPCHL 0
PVNM PV 1
PVNM WIND 0
PVNM GENERATOR 0
PVNM CHP 0
PVNM UTIL 0
PVNM BOILER 0
PVNM ELECCHL 0
PVNM ABSORPCHL 0
CHP PV 0
CHP WIND 0
CHP GENERATOR 0
CHP CHP 1
CHP UTIL 0
CHP BOILER 0
CHP ELECCHL 0
CHP ABSORPCHL 0
UTIL1 PV 0
UTIL1 WIND 0
UTIL1 GENERATOR 0
UTIL1 CHP 0
UTIL1 UTIL 0
UTIL1 BOILER 0
UTIL1 ELECCHL 0
UTIL1 ABSORPCHL 0
BOILER PV 0
BOILER WIND 0
BOILER GENERATOR 0
BOILER CHP 0
BOILER UTIL 0
BOILER BOILER 1
BOILER ELECCHL 0
BOILER ABSORPCHL 0
;
